"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2012 VJ38)","2031-2119","54","1.3e-4","4.45","28.5","0.007","-5.37","-5.47","0","bK12V38J"
"(2020 UC)","2049-2121","100","1.3e-4","7.57","27.6","0.010","-5.38","-5.94","0","bK20U00C"
"(2005 VN5)","2047-2121","82","5.5e-5","6.57","27.0","0.014","-5.38","-5.86","0","bK05V05N"
"(2020 BY4)","2055-2117","17","8.7e-6","20.43","26.1","0.020","-5.38","-5.78","0","bK20B04Y"
"(2016 RR1)","2079-2120","46","2.1e-4","6.75","27.8","0.009","-5.38","-5.70","0","bK16R01R"
"(2002 TY59)","2084-2118","6","1.6e-5","8.22","25.4","0.028","-5.38","-5.55","0","bK02T59Y"
"(2019 KJ4)","2059-2121","241","1.0e-4","5.01","27.2","0.012","-5.39","-6.23","0","bK19K04J"
"(2018 VS6)","2083-2121","36","4.7e-5","11.80","26.9","0.014","-5.40","-5.59","0","bK18V06S"
"(2021 UW1)","2092-2120","14","2.1e-5","13.77","26.2","0.020","-5.40","-5.49","0","bK21U01W"
"(2021 RF16)","2049-2054","6","2.4e-4","8.44","29.0","0.005","-5.41","-5.52","0","bK21R16F"
"(2021 UT5)","2075-2096","6","2.3e-4","12.10","28.4","0.007","-5.41","-5.57","0","bK21U05T"
"(2020 GB1)","2049-2120","27","2.8e-5","8.28","26.9","0.014","-5.42","-5.54","0","bK20G01B"
"(2011 SM173)","2058-2120","14","5.6e-5","14.25","27.8","0.009","-5.43","-5.47","0","bK11SH3M"
"(2013 FU13)","2081-2120","20","8.6e-5","5.73","27.2","0.012","-5.43","-5.79","0","bK13F13U"
"(2008 KO)","2049-2061","3","5.3e-7","23.49","24.4","0.045","-5.44","-5.74","0","bK08K00O"
"(2019 SX)","2046-2120","106","5.0e-4","14.43","29.5","0.004","-5.44","-5.65","0","bK19S00X"
"(2009 FZ10)","2111-2115","4","1.0e-5","13.01","25.5","0.027","-5.45","-5.47","0","bK09F10Z"
"(2014 GQ17)","2052-2121","145","6.2e-5","5.41","27.1","0.013","-5.45","-5.93","0","bK14G17Q"
"(2020 GA3)","2054-2120","25","4.4e-6","16.87","25.1","0.033","-5.45","-5.82","0","bK20G03A"
"(2021 WV1)","2048-2121","148","2.4e-4","2.66","28.5","0.007","-5.45","-5.65","0","bK21W01V"
"(2010 XB)","2036-2036","1","1.0e-4","19.52","29.6","0.004","-5.46","-5.46","0","bK10X00B"
"(2007 EV)","2088-2121","14","7.0e-6","10.59","25.0","0.033","-5.46","-6.00","0","bK07E00V"
"(2020 PO4)","2053-2121","119","6.4e-5","5.82","26.9","0.014","-5.46","-6.19","0","bK20P04O"
"(2012 DJ54)","2068-2121","118","3.2e-4","5.43","28.5","0.007","-5.47","-5.86","0","bK12D54J"
"(2020 PQ2)","2066-2093","3","8.3e-7","20.40","24.3","0.048","-5.47","-5.53","0","bK20P02Q"
"(2016 BA15)","2050-2114","28","1.4e-5","15.88","26.8","0.015","-5.47","-5.60","0","bK16B15A"
"(2012 TV)","2070-2120","19","3.5e-6","16.67","25.2","0.031","-5.47","-5.72","0","bK12T00V"
"(2022 KV6)","2070-2070","2","4.4e-7","25.27","24.0","0.055","-5.47","-5.72","0","bK22K06V"
"(2021 EA)","2055-2060","6","7.1e-5","9.46","28.0","0.009","-5.48","-5.52","0","bK21E00A"
"(2010 TW149)","2071-2107","34","8.9e-6","17.07","25.9","0.023","-5.48","-6.02","0","bK10TE9W"
"(2020 GO1)","2064-2121","90","1.3e-4","6.85","27.6","0.010","-5.48","-6.02","0","bK20G01O"
"(2009 RR)","2098-2120","58","9.7e-6","12.95","25.6","0.026","-5.49","-6.31","0","bK09R00R"
"(2011 EB)","2070-2110","4","3.3e-5","10.31","26.9","0.014","-5.49","-5.56","0","bK11E00B"
"(2022 OZ5)","2081-2122","27","6.5e-6","11.76","25.0","0.034","-5.49","-5.88","0","bK22O05Z"
"(2009 FG)","2022-2122","74","5.8e-6","9.12","25.5","0.027","-5.50","-6.05","0","bK09F00G"
"(2011 BT59)","2052-2091","2","5.3e-9","37.83","20.9","0.220","-5.50","-5.51","0","bK11B59T"
"(2013 WZ44)","2111-2117","5","1.2e-5","12.55","25.7","0.025","-5.50","-5.66","0","bK13W44Z"
"(2012 BL14)","2023-2121","176","1.2e-5","19.95","28.1","0.008","-5.51","-5.85","0","bK12B14L"
"(2021 JW2)","2046-2121","205","1.0e-4","4.89","27.6","0.010","-5.52","-6.35","0","bK21J02W"
"(2021 KT2)","2057-2120","17","1.4e-4","8.27","28.4","0.007","-5.52","-5.60","0","bK21K02T"
"(2022 PD)","2069-2104","3","2.5e-6","10.73","24.3","0.047","-5.52","-5.53","0","bK22P00D"
"(2010 UB)","2116-2119","4","6.2e-6","7.99","24.8","0.037","-5.53","-5.67","0","bK10U00B"
"(2017 RZ15)","2070-2121","31","6.7e-5","7.85","27.1","0.013","-5.53","-5.95","0","bK17R15Z"
"(2016 CD30)","2056-2105","6","5.8e-5","10.53","27.7","0.010","-5.54","-5.57","0","bK16C30D"
"(2010 XN69)","2039-2121","93","1.9e-5","7.39","26.3","0.019","-5.56","-6.47","0","bK10X69N"
"(2016 CK137)","2041-2121","157","5.2e-5","9.83","27.3","0.012","-5.56","-6.14","0","bK16CD7K"
"(2006 HX57)","2045-2094","5","3.1e-6","10.53","25.2","0.031","-5.56","-5.59","0","bK06H57X"
"(2005 NX55)","2028-2070","19","1.1e-8","24.79","21.9","0.140","-5.57","-6.16","0","bK05N55X"
"(2018 VA8)","2098-2120","62","3.4e-5","11.82","26.9","0.014","-5.57","-5.96","0","bK18V08A"
"(2020 DK)","2089-2120","32","1.4e-5","10.44","26.0","0.021","-5.58","-6.34","0","bK20D00K"
"(2018 EV3)","2081-2121","12","5.0e-5","12.58","27.1","0.013","-5.59","-5.65","0","bK18E03V"
"(2009 JL2)","2057-2116","19","7.7e-6","12.83","26.0","0.022","-5.59","-5.97","0","bK09J02L"
"(2016 TY55)","2074-2121","35","4.2e-5","4.61","26.9","0.014","-5.60","-5.71","0","bK16T55Y"
"(2018 VC7)","2049-2119","17","5.7e-5","4.22","27.4","0.011","-5.60","-5.86","0","bK18V07C"
"(2022 KK2)","2060-2122","32","1.2e-4","15.57","28.4","0.007","-5.61","-5.80","0","bK22K02K"
"(2021 RR14)","2089-2119","18","5.7e-5","3.09","26.9","0.014","-5.61","-5.83","0","bK21R14R"
"(2009 BF58)","2060-2121","57","5.8e-5","6.68","27.2","0.012","-5.61","-6.05","0","bK09B58F"
"(2018 FE4)","2098-2106","4","1.5e-6","20.69","24.7","0.039","-5.61","-5.87","0","bK18F04E"
"(2020 ED)","2096-2120","7","4.3e-5","7.09","26.9","0.014","-5.62","-5.76","0","bK20E00D"
"(2018 HW1)","2105-2121","15","1.7e-5","4.74","25.8","0.024","-5.62","-5.67","0","bK18H01W"
"(2019 UT)","2099-2120","15","1.2e-4","10.90","27.9","0.009","-5.62","-5.95","0","bK19U00T"
"(2011 FQ6)","2053-2115","33","6.6e-5","10.50","27.7","0.010","-5.62","-5.75","0","bK11F06Q"
"(2015 FA345)","2024-2095","7","1.2e-7","9.74","24.1","0.052","-5.62","-5.65","0","bK15FY5A"
"(2010 UH)","2061-2121","69","5.7e-5","6.74","27.1","0.013","-5.63","-5.87","0","bK10U00H"
"(2017 WL15)","2054-2119","19","5.3e-6","17.99","25.8","0.023","-5.63","-6.03","0","bK17W15L"
"(2022 OK5)","2111-2120","5","4.2e-7","18.36","23.2","0.077","-5.63","-5.71","0","bK22O05K"
"(2021 FM2)","2050-2083","13","8.0e-4","10.85","30.3","0.003","-5.64","-5.65","0","bK21F02M"
"(2016 NK22)","2084-2121","176","4.5e-4","6.88","28.9","0.005","-5.64","-5.85","0","bK16N22K"
"(2017 UL7)","2041-2054","2","3.6e-7","16.22","24.4","0.045","-5.65","-5.74","0","bK17U07L"
"(2006 UU17)","2099-2119","8","2.1e-5","9.77","26.4","0.018","-5.65","-6.00","0","bK06U17U"
"(2017 YO5)","2084-2120","26","1.8e-5","7.34","26.1","0.020","-5.66","-6.08","0","bK17Y05O"
"(2020 UT4)","2045-2121","37","4.3e-5","17.92","28.2","0.008","-5.66","-6.12","0","bK20U04T"
"(2017 QF3)","2043-2121","73","3.1e-5","12.75","27.8","0.009","-5.67","-6.13","0","bK17Q03F"
"(2022 HO2)","2065-2072","3","2.4e-6","15.48","25.4","0.028","-5.67","-5.67","0","bK22H02O"
"(2021 ER)","2072-2120","27","5.3e-5","4.29","27.0","0.014","-5.67","-6.05","0","bK21E00R"
"(2006 WZ184)","2084-2121","91","1.6e-5","7.26","26.1","0.021","-5.68","-6.57","0","bK06WI4Z"
"(2011 MD)","2098-2121","27","1.7e-4","1.48","28.0","0.009","-5.68","-6.18","0","bK11M00D"
"(2007 UN12)","2089-2121","25","4.1e-4","1.57","28.8","0.006","-5.69","-6.22","0","bK07U12N"
"(2017 OE7)","2106-2119","5","2.6e-5","4.28","26.3","0.019","-5.69","-5.72","0","bK17O07E"
"(2009 WR52)","2031-2121","128","1.0e-4","5.41","28.3","0.007","-5.69","-5.93","0","bK09W52R"
"(2020 SW5)","2110-2121","5","6.8e-6","15.79","25.8","0.023","-5.69","-5.94","0","bK20S05W"
"(2011 AY22)","2044-2118","35","2.9e-5","12.98","27.1","0.013","-5.70","-6.43","0","bK11A22Y"
"(2012 LJ)","2069-2072","2","2.5e-6","18.68","25.6","0.026","-5.70","-5.71","0","bK12L00J"
"(2007 XZ9)","2065-2118","5","1.4e-6","13.01","24.8","0.037","-5.71","-5.85","0","bK07X09Z"
"(2014 HN197)","2069-2111","5","4.0e-9","21.76","19.9","0.348","-5.71","-5.94","0","bK14HJ7N"
"(2010 UY7)","2066-2121","109","2.4e-4","3.87","28.5","0.007","-5.71","-6.16","0","bK10U07Y"
"(2021 WE6)","2076-2119","4","7.7e-6","11.41","25.8","0.023","-5.71","-6.02","0","bK21W06E"
"(2021 LQ)","2112-2112","2","8.6e-7","24.24","24.5","0.043","-5.72","-5.75","0","bK21L00Q"
"(2017 UJ43)","2050-2116","29","5.1e-5","6.90","27.8","0.009","-5.72","-5.87","0","bK17U43J"
"(2021 XU5)","2040-2105","46","1.0e-4","19.10","29.4","0.005","-5.72","-6.06","0","bK21X05U"
"(2009 HW67)","2046-2079","11","2.8e-6","22.62","26.1","0.020","-5.73","-6.12","0","bK09H67W"
"(2020 FK6)","2054-2117","121","6.0e-5","13.15","28.1","0.008","-5.73","-6.71","0","bK20F06K"
"(2011 BF40)","2083-2083","1","1.2e-6","18.50","24.8","0.037","-5.73","-5.73","0","bK11B40F"
"(2021 JY3)","2077-2121","42","1.7e-4","3.86","28.4","0.007","-5.73","-6.18","0","bK21J03Y"
"(2021 RF12)","2055-2083","6","4.0e-5","12.26","28.0","0.009","-5.73","-6.00","0","bK21R12F"
"(2014 QC391)","2078-2121","86","6.0e-5","7.61","27.5","0.011","-5.74","-6.19","0","bK14Qd1C"
"(2019 FA)","2036-2118","58","7.2e-5","5.68","28.7","0.006","-5.74","-6.21","0","bK19F00A"
"(2012 PB20)","2089-2121","21","4.9e-6","4.03","24.9","0.035","-5.74","-6.16","0","bK12P20B"
"(2017 FN1)","2033-2072","7","1.7e-4","17.92","30.6","0.003","-5.74","-5.82","0","bK17F01N"
"(2015 TG24)","2102-2121","87","2.5e-5","9.84","26.7","0.016","-5.74","-6.74","0","bK15T24G"
"(2022 JV1)","2074-2122","84","6.7e-5","6.45","27.5","0.011","-5.75","-6.67","0","bK22J01V"
"(2006 BM8)","2096-2121","31","4.2e-6","14.79","25.4","0.028","-5.75","-6.19","0","bK06B08M"
"(2021 AB4)","2073-2117","48","2.9e-5","5.90","26.8","0.015","-5.75","-6.22","0","bK21A04B"
"(2020 UO4)","2105-2121","7","3.3e-4","3.22","28.6","0.006","-5.75","-5.97","0","bK20U04O"
"(2020 YK3)","2048-2119","31","3.6e-5","4.14","27.1","0.013","-5.75","-5.98","0","bK20Y03K"
"(2021 VB2)","2072-2083","3","9.0e-5","8.26","28.3","0.007","-5.76","-5.76","0","bK21V02B"
"(2019 NP5)","2106-2121","9","9.5e-5","5.09","27.6","0.010","-5.76","-5.92","0","bK19N05P"
"(2012 VS76)","2081-2120","14","1.9e-5","11.46","26.9","0.014","-5.77","-6.08","0","bK12V76S"
"(2008 EA9)","2053-2121","149","7.0e-5","1.25","27.7","0.010","-5.77","-6.69","0","bK08E09A"
"(2018 BN6)","2077-2120","40","1.9e-5","10.23","26.8","0.015","-5.77","-5.99","0","bK18B06N"
"(2010 TW54)","2088-2118","16","6.8e-5","7.76","27.6","0.010","-5.77","-6.14","0","bK10T54W"
"(2005 SO1)","2110-2121","15","4.7e-6","12.02","25.4","0.028","-5.77","-6.25","0","bK05S01O"
"(2017 YO3)","2049-2104","14","4.1e-5","8.31","28.2","0.008","-5.78","-5.84","0","bK17Y03O"
"(2019 JR2)","2079-2120","35","2.5e-5","13.36","27.1","0.013","-5.79","-5.96","0","bK19J02R"
"(2006 SC)","2043-2109","9","1.5e-6","12.22","25.2","0.031","-5.79","-5.93","0","bK06S00C"
"(2022 GU3)","2109-2116","3","7.1e-6","8.40","25.6","0.026","-5.79","-5.79","0","bK22G03U"
"(2020 KC5)","2092-2103","2","3.7e-5","8.96","27.3","0.012","-5.80","-5.80","0","bK20K05C"
"(2004 VZ14)","2076-2119","20","2.6e-6","15.25","25.3","0.030","-5.80","-6.35","0","bK04V14Z"
"(2019 YV1)","2090-2120","8","5.2e-6","5.74","25.2","0.031","-5.80","-6.20","0","bK19Y01V"
"(2005 TH50)","2047-2121","38","7.0e-5","4.95","28.0","0.009","-5.80","-6.13","0","bK05T50H"
"(2011 DS)","2065-2121","45","2.8e-5","6.54","27.0","0.013","-5.80","-6.12","0","bK11D00S"
"(2016 SK2)","2075-2082","3","2.3e-6","13.64","25.3","0.030","-5.80","-5.82","0","bK16S02K"
"(2016 TQ2)","2110-2120","18","1.2e-5","15.21","26.4","0.017","-5.81","-6.03","0","bK16T02Q"
"(2019 GD4)","2065-2121","71","5.7e-5","7.52","27.7","0.010","-5.81","-6.17","0","bK19G04D"
"(2020 AW)","2061-2121","262","1.9e-4","4.55","28.7","0.006","-5.81","-6.58","0","bK20A00W"
"(2020 KU)","2070-2108","35","1.4e-4","6.92","28.5","0.007","-5.81","-6.08","0","bK20K00U"
"(2015 EO)","2050-2096","18","7.3e-6","14.26","26.6","0.016","-5.82","-6.12","0","bK15E00O"
"(2020 XG)","2081-2121","104","8.9e-5","11.11","28.1","0.008","-5.82","-6.48","0","bK20X00G"
"(2021 UO1)","2038-2112","26","1.4e-5","18.50","28.0","0.009","-5.82","-6.01","0","bK21U01O"
"(2016 CG18)","2062-2121","103","1.7e-4","4.26","28.5","0.007","-5.83","-6.29","0","bK16C18G"
"(2020 WN5)","2068-2121","213","6.5e-5","11.60","28.0","0.009","-5.83","-6.40","0","bK20W05N"
"(2020 VO1)","2058-2121","69","7.7e-5","7.68","28.0","0.009","-5.84","-6.21","0","bK20V01O"
"(2021 RP2)","2050-2121","486","8.1e-4","4.45","30.2","0.003","-5.84","-6.35","0","bK21R02P"
"(2011 BP40)","2031-2119","27","1.6e-6","3.47","25.4","0.028","-5.85","-6.27","0","bK11B40P"
"(2013 RS43)","2073-2120","66","3.0e-5","5.69","27.0","0.013","-5.85","-6.44","0","bK13R43S"
"(2022 LL1)","2118-2118","4","2.2e-6","24.30","25.5","0.026","-5.85","-6.00","0","bK22L01L"
"(2008 EV84)","2041-2041","1","7.2e-7","12.92","25.4","0.029","-5.86","-5.86","0","bK08E84V"
"(2018 BL11)","2102-2118","22","8.8e-5","11.29","28.2","0.008","-5.86","-6.10","0","bK18B11L"
"(2011 DV10)","2093-2093","1","1.1e-6","16.27","24.8","0.038","-5.86","-5.86","0","bK11D10V"
"(2018 RB2)","2091-2119","54","3.5e-5","9.05","27.3","0.012","-5.86","-6.25","0","bK18R02B"
"(2021 RL14)","2098-2121","15","4.4e-5","9.68","27.4","0.011","-5.86","-5.97","0","bK21R14L"
"(2021 VM22)","2090-2109","4","3.4e-5","9.11","27.4","0.011","-5.86","-5.88","0","bK21V22M"
"(2006 WV29)","2036-2120","39","5.8e-6","16.75","26.5","0.017","-5.86","-6.37","0","bK06W29V"
"(2013 NH6)","2060-2060","2","8.6e-8","21.74","23.4","0.073","-5.87","-6.17","0","bK13N06H"
"(2013 RO30)","2044-2090","6","9.9e-5","9.26","28.4","0.007","-5.87","-5.98","0","bK13R30O"
"(2018 LR3)","2077-2121","21","1.6e-5","4.17","26.3","0.019","-5.87","-6.04","0","bK18L03R"
"(2007 UD6)","2058-2106","88","8.6e-5","5.99","28.3","0.007","-5.87","-6.48","0","bK07U06D"
"(2022 FP2)","2054-2121","42","6.3e-5","4.90","28.3","0.007","-5.88","-6.00","0","bK22F02P"
"(2009 HC)","2095-2114","6","2.9e-6","3.72","24.8","0.038","-5.88","-6.20","0","bK09H00C"
"(2019 NO2)","2102-2117","5","9.7e-5","8.72","28.3","0.008","-5.88","-5.89","0","bK19N02O"
"(2016 GK2)","2092-2119","16","4.9e-5","9.12","27.8","0.009","-5.89","-6.16","0","bK16G02K"
"(2019 AW2)","2072-2072","1","1.7e-6","13.73","25.3","0.029","-5.89","-5.89","0","bK19A02W"
"(2020 LV)","2109-2121","4","5.0e-6","4.49","25.3","0.030","-5.89","-5.90","0","bK20L00V"
"(2020 UX4)","2074-2112","7","6.1e-6","7.67","25.8","0.024","-5.89","-6.01","0","bK20U04X"
"(2007 TL16)","2074-2092","16","6.6e-6","11.42","26.2","0.019","-5.89","-6.16","0","bK07T16L"
"(2016 CY135)","2103-2119","7","1.8e-6","6.74","24.5","0.043","-5.90","-6.31","0","bK16CD5Y"
"(2012 BU1)","2069-2121","34","4.8e-5","8.96","27.7","0.010","-5.90","-6.39","0","bK12B01U"
"(2020 WD)","2055-2120","16","1.0e-4","5.69","28.2","0.008","-5.90","-6.14","0","bK20W00D"
"(2014 OM207)","2089-2108","5","2.4e-4","8.20","29.1","0.005","-5.90","-5.90","0","bK14OK7M"
"(2017 RC)","2084-2121","65","6.6e-5","9.85","27.9","0.009","-5.90","-6.45","0","bK17R00C"
"(2009 TU)","2086-2120","13","1.9e-5","15.15","27.4","0.011","-5.91","-6.46","0","bK09T00U"
"(2015 ET)","2076-2120","14","1.1e-5","11.67","26.7","0.016","-5.91","-6.37","0","bK15E00T"
"(2022 BT)","2080-2122","311","5.8e-4","3.81","29.8","0.004","-5.91","-6.21","0","bK22B00T"
"(2013 GA55)","2064-2121","36","4.9e-5","9.34","27.7","0.010","-5.92","-6.08","0","bK13G55A"
"(2020 UK2)","2082-2121","13","2.1e-5","7.61","26.9","0.014","-5.92","-6.32","0","bK20U02K"
"(2016 JB29)","2090-2117","4","1.6e-6","8.57","24.7","0.039","-5.92","-6.03","0","bK16J29B"
"(2020 YB1)","2073-2120","38","1.3e-5","11.79","26.8","0.015","-5.92","-6.28","0","bK20Y01B"
"(2021 XY3)","2067-2074","4","5.7e-6","16.90","26.7","0.016","-5.92","-6.09","0","bK21X03Y"
"(2022 CS)","2072-2075","3","2.8e-6","14.47","25.9","0.022","-5.93","-6.03","0","bK22C00S"
"(2014 FX32)","2076-2108","2","1.6e-6","9.05","25.1","0.033","-5.94","-5.94","0","bK14F32X"
"(2018 RH3)","2108-2108","9","8.6e-6","8.31","26.1","0.020","-5.95","-6.66","0","bK18R03H"
"(2015 MN11)","2081-2105","3","4.2e-7","21.08","24.5","0.042","-5.95","-5.97","0","bK15M11N"
"(2022 DT4)","2099-2118","4","9.1e-6","7.31","26.2","0.019","-5.95","-6.01","0","bK22D04T"
"(2007 EO88)","2073-2111","17","8.6e-6","10.95","26.4","0.018","-5.96","-6.48","0","bK07E88O"
"(2018 EB4)","2099-2099","1","2.4e-6","13.09","25.4","0.028","-5.96","-5.96","0","bK18E04B"
"(2010 UC7)","2104-2119","14","1.4e-6","13.40","24.7","0.039","-5.96","-6.52","0","bK10U07C"
"(2018 YH2)","2031-2120","15","4.8e-8","9.75","23.1","0.082","-5.97","-6.12","0","bK18Y02H"
"(2020 FZ2)","2110-2118","6","1.2e-6","22.31","25.1","0.032","-5.97","-6.23","0","bK20F02Z"
"(2019 BZ)","2077-2120","40","3.1e-5","8.62","27.6","0.010","-5.97","-6.20","0","bK19B00Z"
"(2022 HB2)","2065-2121","17","2.2e-5","7.97","27.3","0.012","-5.98","-6.15","0","bK22H02B"
"(2009 HS44)","2111-2111","1","6.7e-6","18.29","26.6","0.017","-5.98","-5.98","0","bK09H44S"
"(2014 AD16)","2087-2121","5","2.5e-5","8.33","27.4","0.011","-5.98","-5.99","0","bK14A16D"
"(2021 EO)","2089-2119","9","3.0e-6","7.45","25.1","0.032","-5.98","-6.54","0","bK21E00O"
"(2020 AO1)","2049-2049","1","9.3e-8","17.02","23.7","0.062","-5.98","-5.98","0","bK20A01O"
"(2017 UA45)","2099-2121","10","8.6e-6","5.42","25.9","0.022","-5.99","-6.16","0","bK17U45A"
"(2018 EE9)","2079-2115","19","6.0e-6","15.96","26.3","0.018","-5.99","-6.11","0","bK18E09E"
"(2013 BR27)","2067-2112","61","2.9e-5","10.95","27.7","0.010","-5.99","-6.40","0","bK13B27R"
"(2019 SC)","2051-2051","1","6.1e-6","14.26","27.2","0.012","-5.99","-5.99","0","bK19S00C"
"(2021 LL15)","2050-2107","17","5.5e-6","10.17","26.4","0.018","-5.99","-6.30","0","bK21L15L"
"(2019 RT3)","2080-2118","11","2.4e-6","7.62","25.2","0.031","-6.00","-6.25","0","bK19R03T"
"(2021 RM10)","2057-2104","8","1.8e-6","11.06","25.4","0.029","-6.01","-6.32","0","bK21R10M"
"(2019 TK5)","2061-2121","19","1.8e-5","5.58","27.4","0.011","-6.01","-6.13","0","bK19T05K"
"(2011 WN69)","2086-2109","6","3.1e-6","23.08","26.2","0.020","-6.01","-6.25","0","bK11W69N"
"(2021 AX6)","2062-2120","10","9.5e-6","7.13","26.9","0.014","-6.01","-6.04","0","bK21A06X"
"(2016 EM156)","2108-2116","6","5.9e-5","8.81","27.9","0.009","-6.02","-6.03","0","bK16EF6M"
"(2020 FD)","2027-2106","19","5.4e-6","15.42","27.6","0.010","-6.02","-6.57","0","bK20F00D"
"(2007 US51)","2079-2120","21","1.5e-5","15.25","27.2","0.012","-6.02","-6.43","0","bK07U51S"
"(2010 NN)","2060-2120","44","5.3e-5","7.74","28.4","0.007","-6.02","-6.72","0","bK10N00N"
"(2018 BD)","2032-2097","10","6.9e-5","8.89","30.1","0.003","-6.03","-6.03","0","bK18B00D"
"(2019 BU1)","2056-2063","4","2.2e-6","14.35","26.2","0.020","-6.03","-6.07","0","bK19B01U"
"(2022 GA2)","2049-2116","130","1.4e-4","7.88","29.4","0.004","-6.04","-6.56","0","bK22G02A"
"(2012 XM16)","2074-2118","10","2.6e-6","12.68","25.8","0.024","-6.04","-6.12","0","bK12X16M"
"(2021 CN5)","2109-2121","45","2.7e-5","16.04","27.8","0.009","-6.04","-6.33","0","bK21C05N"
"(2007 YS56)","2084-2115","6","5.0e-6","9.14","25.8","0.023","-6.05","-6.33","0","bK07Y56S"
"(2020 TO2)","2119-2121","4","8.9e-6","12.56","26.5","0.017","-6.05","-6.32","0","bK20T02O"
"(2012 BA102)","2103-2121","19","1.2e-5","7.21","26.5","0.017","-6.05","-6.29","0","bK12BA2A"
"(2020 RJ2)","2067-2121","46","2.7e-4","3.55","29.2","0.005","-6.06","-6.46","0","bK20R02J"
"(2022 KM6)","2065-2115","11","1.6e-6","20.45","26.1","0.020","-6.06","-6.28","0","bK22K06M"
"(2019 AH3)","2060-2067","3","1.1e-5","18.03","28.0","0.009","-6.07","-6.10","0","bK19A03H"
"(2017 YV8)","2078-2119","26","2.4e-5","7.52","27.3","0.012","-6.07","-6.29","0","bK17Y08V"
"(2009 TM8)","2079-2121","293","9.3e-5","7.96","28.6","0.007","-6.08","-7.53","0","bK09T08M"
"(2010 CS19)","2104-2116","8","5.3e-5","6.82","28.0","0.009","-6.08","-6.13","0","bK10C19S"
"(2005 TA)","2082-2121","87","2.8e-5","4.81","27.2","0.012","-6.08","-6.71","0","bK05T00A"
"(2019 DX)","2051-2105","21","1.0e-5","12.39","26.9","0.014","-6.08","-6.33","0","bK19D00X"
"(2008 GM2)","2071-2122","83","9.7e-5","4.62","28.4","0.007","-6.08","-6.76","0","bK08G02M"
"(2022 DO3)","2060-2116","12","8.8e-6","14.85","26.9","0.014","-6.08","-6.64","0","bK22D03O"
"(2018 SD2)","2065-2120","96","8.5e-5","2.85","28.4","0.007","-6.08","-6.60","0","bK18S02D"
"(2017 QM33)","2084-2103","9","1.4e-5","17.61","27.7","0.010","-6.09","-6.14","0","bK17Q33M"
"(2008 XU2)","2039-2039","1","6.3e-7","9.93","25.6","0.026","-6.09","-6.09","0","bK08X02U"
"(2015 TL21)","2061-2103","9","3.5e-6","15.24","26.4","0.018","-6.09","-6.54","0","bK15T21L"
"(2019 CJ4)","2075-2120","14","2.5e-6","10.94","25.4","0.028","-6.09","-6.62","0","bK19C04J"
"(2006 DO62)","2053-2088","10","2.2e-5","10.84","28.3","0.007","-6.10","-6.10","0","bK06D62O"
"(2008 YV32)","2077-2120","25","6.4e-6","8.80","26.4","0.018","-6.11","-6.60","0","bK08Y32V"
"(2013 HT14)","2043-2109","5","1.8e-6","20.53","26.3","0.019","-6.11","-6.27","0","bK13H14T"
"(2016 EP84)","2084-2121","19","2.9e-5","2.33","27.4","0.011","-6.11","-6.26","0","bK16E84P"
"(2018 TB)","2103-2103","1","1.3e-6","8.98","24.8","0.037","-6.11","-6.11","0","bK18T00B"
"(2008 DA4)","2091-2100","3","3.7e-7","11.16","23.9","0.056","-6.12","-6.38","0","bK08D04A"
"(2014 WA)","2049-2049","1","1.7e-5","9.55","28.2","0.008","-6.12","-6.12","0","bK14W00A"
"(2021 CC7)","2100-2120","13","3.6e-4","3.99","29.7","0.004","-6.12","-6.13","0","bK21C07C"
"(2002 TZ59)","2040-2040","1","1.2e-8","28.41","23.0","0.085","-6.13","-6.13","0","bK02T59Z"
"(2018 LB)","2075-2119","20","5.0e-6","7.43","26.0","0.021","-6.13","-6.78","0","bK18L00B"
"(2015 BE511)","2057-2111","9","5.1e-5","9.86","28.7","0.006","-6.13","-6.26","0","bK15Bp1E"
"(2017 FW90)","2101-2119","8","7.7e-5","4.16","28.1","0.008","-6.13","-6.42","0","bK17F90W"
"(1997 TC25)","2047-2112","10","6.1e-7","9.07","24.7","0.039","-6.13","-6.61","0","bJ97T25C"
"(2021 UX1)","2034-2119","99","9.6e-5","3.33","29.3","0.005","-6.13","-6.55","0","bK21U01X"
"(2017 UP43)","2110-2121","9","7.9e-6","7.91","26.4","0.018","-6.14","-6.50","0","bK17U43P"
"(2019 UL)","2082-2121","40","1.1e-4","4.25","28.7","0.006","-6.14","-6.36","0","bK19U00L"
"(2018 PA25)","2024-2117","44","9.6e-8","14.72","25.0","0.035","-6.14","-6.28","0","bK18P25A"
"(2018 WH)","2053-2121","355","2.9e-4","7.50","29.9","0.004","-6.15","-7.13","0","bK18W00H"
"(2015 DD54)","2113-2116","2","3.1e-6","6.72","25.4","0.028","-6.15","-6.16","0","bK15D54D"
"(2021 YK)","2097-2122","8","2.2e-5","6.76","27.4","0.011","-6.15","-6.17","0","bK21Y00K"
"(2007 DC)","2048-2120","82","1.4e-5","6.74","27.5","0.011","-6.16","-6.95","0","bK07D00C"
"(2021 EF3)","2108-2121","16","2.6e-4","3.40","29.3","0.005","-6.16","-6.69","0","bK21E03F"
